Q1_A,Q1_B1
Strongly Opposed,It will local businesses.
Strongly Opposed,Casinos contribute to social ills
Strongly Opposed,There will be more crimes
Strongly Opposed,"health-related issues, additio ntraffic"
Strongly Opposed,Concerns with problem gambling
Strongly in Favour,Jobs
Strongly in Favour,Entertainment
Strongly Opposed,foster additictions
Strongly Opposed,There is no benefit to the city. (don't give me any it'll bring tourists BS)
Strongly in Favour,It will create jobs- especially for students and those under 30's beginning a family in Toronto
Somewhat Opposed,"Casinos do not bring money into the area; they are contained ""cities"" that ensure that patrons do not leave the casino; there's no benefit to surrounding businesses"
Strongly in Favour,
Strongly Opposed,I believe the social costs outweight any proposed financial benefit.
Strongly Opposed,I do not think the city needs this sordid pastime.
Strongly Opposed,It does not attract the crowds we want to focus on in Toronto
Somewhat Opposed,There are already enough options for casinos within an hour driving distance
Strongly Opposed,Adverse social impact on our community especially the neighborhoods nearby
Strongly Opposed,downtown is perfectly fine without the traffic and chaos that goes along with a casino
Strongly in Favour,I want Toronto to have access to the millions and millions of dollars that gambling could bring to the city ( many jobs too)
Somewhat in Favour,promote and attract foreign tourist
Strongly Opposed,gambling is an unacceptable  wayto raise revenue for the city
Strongly in Favour,It will create jobs
Strongly Opposed,"addictions shuld be treated, not encouraged"
Strongly Opposed,Casinos would drain money from local Torontonians and will not bring in more tourists from U.S. or internationally.
Strongly in Favour,Great revenues to support city activities
Strongly Opposed,Toronto has very positive cultural attractions
Strongly Opposed,"Symbolically, this would place an exloitative institution at or near the heart of the city."
Strongly Opposed,A casino in the city with easy access will lead to more gambling addictions with associated social problems and tragedies.
Strongly in Favour,cannot find a reason why not to have a casino in the city
Strongly Opposed,The stuff that comes with a casino
Strongly Opposed,Casinos have negative social consequences which outweigh the benefits.
Strongly Opposed,Don't think we need more gambling
Strongly Opposed,Other development more productive
Strongly Opposed,The ecomomic consequeces of casinos in other cities comparable to Toronto have been adverse.
Strongly Opposed,"The negative impacts of gambling  on the population (gambling addiction, the loss of money in the community to more productive purposes, and the accesory spin offs like prostitution and the mafia."
Somewhat in Favour,I feel a casino fits into a modern city as ours.
Strongly Opposed,It attracts crime.
Strongly Opposed,
Strongly Opposed,
Strongly Opposed,It needs to be left at Woodbine in partnership with horseracing
Strongly in Favour,Revenue for city
Strongly Opposed,see comments
Strongly Opposed,I don't think a mega casino in Toronto fits well
Strongly Opposed,Casinos prey on the economically vulnerable in society
Strongly Opposed,Casinos result in more gambling addiction and ruined lives
Strongly in Favour,Tourism
Strongly Opposed,Studies have shown that casinos in cities have an adverse affect on the lives of many of its citizens.
Strongly Opposed,"Quality of city, noisy, unsafe, etc."
Somewhat in Favour,A casino would provide jobs
Strongly Opposed,wrong type of activity for Toronto
Strongly Opposed,"Casinos take advantage of people with gambling additions many of whom cannot afford to gamble, Gambling exploits the vulnerable while disregarding collateral harm."
Strongly Opposed,Gambling is a form of addiction and even the homeless fall victim to this
Strongly Opposed,Fosters addiction.
Strongly Opposed,Exploiting people's weaknesses is not an ethical way for Toronto to make money.
Somewhat Opposed,"The amount of increased traffic congestion, pollution, noise is not worth the (relatively) small revenue that the casino will bring to the city of Toronto"
Strongly in Favour,"I am a resident of Toronto and a gambler and the other casinos are at least an hour outside the city, if not out of the country."
Strongly Opposed,"The waterfront should be preserved as a continuous/connected public greenspace, park, and/or trails, to enhance the quality of living in Toronto, for all new development"
Somewhat in Favour,"Montreal and Windsor have one and their world did not end (no increase in social problems, etc)."
Strongly in Favour,increasing job opportunities
Strongly Opposed,public health costs
Strongly Opposed,I am against gambling; it's an addiction and should not be facilitated
Strongly in Favour,
Strongly Opposed,"a city is best built building by building, and not by megaprojects"
Strongly Opposed,negative social effects of a casino
Strongly Opposed,It exploits those who have a gambling problem
Strongly Opposed,Lack of parking
Strongly in Favour,increase revenue for the city
Strongly Opposed,This is not community building in an way. It will not make Toronto a better city.
Strongly in Favour,All big cities in the world have casinos except Toronto
Strongly Opposed,"The main consideration seems to be financial, while the numbers are not guaranteed and not based on sound data"
Strongly in Favour,"pay too many taxes already, this will help take burdon off overtaxed hardworking people and small businesses"
Strongly in Favour,Detrimental effects not documented nor statistically supportable
Strongly Opposed,Crime will increase with a new casino
Strongly Opposed,There are three types of gamblers: 1 Professional gamblers who (over a long period of time) can actually make a living gambling .
Somewhat Opposed,Inadequate provisioning for dealing with gambling addiction
Strongly Opposed,"Saw the damage it did to the people of Windsor.  Lost homes, debt etc."
Strongly Opposed,Criminal activity
Strongly Opposed,downtown Toronto doesn't need anything more adding to vehicle and bus conjestion
Somewhat Opposed,Encourages gambling by people who cannot afford it.
Strongly in Favour,jobs
Strongly Opposed,There are already several casinos in Ontario within less tahn two hours driving time. plus lottery tickets.
Strongly Opposed,i beleive casino should be continue at woodbine racetrack
Strongly Opposed,Too many problems associated with gambling additions
Strongly Opposed,public health
